FTSE Canada Index ETF (VCE)

Holding details
As of close  31 October 2018

Holding name,% of market value,Sector,Market Allocation,Market value,Shares
Shaw Communications Inc. Class B(SJR.B),"=""0.69200%""",Broadcasting & Entertainment,CA,"=""$ 3,768,658"""," 153,760"
Power Corp. of Canada(POW),"=""0.67428%""",Life Insurance,CA,"=""$ 3,672,154"""," 135,105"
Bausch Health Cos. Inc.(BHC),"=""0.66304%""",Pharmaceuticals,CA,"=""$ 3,610,936"""," 119,885"
Goldcorp Inc.(G),"=""0.65962%""",Gold Mining,CA,"=""$ 3,592,290"""," 302,127"
Imperial Oil Ltd.(IMO),"=""0.64583%""",Integrated Oil & Gas,CA,"=""$ 3,517,199"""," 85,535"
Metro Inc.(MRU),"=""0.63726%""",Food Retailers & Wholesalers,CA,"=""$ 3,470,536"""," 84,012"
Wheaton Precious Metals Corp.(WPM),"=""0.61609%""",Platinum & Precious Metals,CA,"=""$ 3,355,239"""," 155,048"
Canadian Tire Corp. Ltd. Class A(CTC.A),"=""0.57844%""",Specialty Retailers,CA,"=""$ 3,150,197"""," 21,265"
TELUS Corp.(T),"=""0.57670%""",Fixed Line Telecommunications,CA,"=""$ 3,140,724"""," 69,670"
Saputo Inc.(SAP),"=""0.56377%""",Food Products,CA,"=""$ 3,070,300"""," 76,547"
Great-West Lifeco Inc.(GWO),"=""0.53865%""",Life Insurance,CA,"=""$ 2,933,512"""," 97,104"
SNC-Lavalin Group Inc.(SNC),"=""0.53058%""",Heavy Construction,CA,"=""$ 2,889,560"""," 61,480"
Inter Pipeline Ltd.(IPL),"=""0.52962%""",Pipelines,CA,"=""$ 2,884,342"""," 135,098"
RioCan REIT(REI.UN),"=""0.47999%""",Retail REITs,CA,"=""$ 2,614,056"""," 108,919"
Power Financial Corp.(PWF),"=""0.44725%""",Life Insurance,CA,"=""$ 2,435,719"""," 85,916"
Hydro One Ltd.(H),"=""0.38615%""",Alternative Electricity,CA,"=""$ 2,102,976"""," 109,816"
BlackBerry Ltd.(BB),"=""0.37954%""",Telecommunications Equipment,CA,"=""$ 2,067,007"""," 170,124"
Husky Energy Inc.(HSE),"=""0.36650%""",Integrated Oil & Gas,CA,"=""$ 1,995,978"""," 107,253"
Tourmaline Oil Corp.(TOU),"=""0.31032%""",Exploration & Production,CA,"=""$ 1,690,003"""," 88,021"
CI Financial Corp.(CIX),"=""0.30804%""",Asset Managers,CA,"=""$ 1,677,574"""," 86,162"
George Weston Ltd.(WN),"=""0.28428%""",Food Retailers & Wholesalers,CA,"=""$ 1,548,182"""," 16,169"
Canadian Utilities Ltd. Class A(CU),"=""0.23888%""",Multiutilities,CA,"=""$ 1,300,948"""," 41,657"
IGM Financial Inc.(IGM),"=""0.17290%""",Asset Managers,CA,"=""$ 941,611"""," 29,125"
Turquoise Hill Resources Ltd.(TRQ),"=""0.14123%""",Nonferrous Metals,CA,"=""$ 769,159"""," 346,468"
Barrick Gold Corp.(ABX),"=""0.04881%""",Gold Mining,CA,"=""$ 265,797"""," 16,088"

